,name,PM25RT
783,Alabama River Pulp,0.0187
784,Alabama River Pulp,0.0067
785,Albertville,
786,Albertville,
787,Albertville,
788,Albertville,
789,AMEA Sylacauga Plant,0.0066
790,AMEA Sylacauga Plant,0.0066
791,ANAD Solar Array,
792,APC1,
793,APC2,
794,APC3,
795,Bankhead Dam,
796,Barry,0.0074
797,Barry,0.0077
798,Barry,0.0113
799,Barry,0.0029
800,Barry,0.0077
801,Barry,0.008
802,Barry,0.0118
803,Barry,0.0079
804,Bartletts Ferry,
805,Bartletts Ferry,
806,Bartletts Ferry,
807,Bartletts Ferry,
808,Bartletts Ferry,
809,Bartletts Ferry,
810,Bellefonte,
811,Bellefonte,
812,Blackbear Solar 1,
813,Browns Ferry,
814,Browns Ferry,
815,Browns Ferry,
816,Calhoun Energy Center,0.0052
817,Calhoun Energy Center,0.0053
818,Calhoun Energy Center,0.0052
819,Calhoun Energy Center,0.0055
820,Central Alabama Gen Station,0.0048
821,Central Alabama Gen Station,0.0046
822,Central Alabama Gen Station,0.0044
823,Charles R Lowman,
824,Charles R Lowman,0.0151
825,Charles R Lowman,
826,Colbert,0.0154
827,Colbert,0.0153
828,Colbert,0.0152
829,Colbert,0.0153
830,Colbert,0.0154
831,Colbert,0.0153
832,Colbert,0.0153
833,Colbert,0.0153
834,Crestwood Dothan,0.31
835,Crestwood Dothan,0.31
836,Crestwood Dothan,0.31
837,Crestwood Dothan,0.31
838,Crestwood Dothan,0.31
839,Crestwood Dothan,0.31
840,Crestwood Dothan,0.31
841,Crestwood Dothan,
842,"Cumblerland Land Holdings, LLC",
843,Decatur Energy Center,0.0031
844,Decatur Energy Center,0.0031
845,Decatur Energy Center,0.0031
846,Decatur-Morgan Co LFG Recovery Project,0.0147
847,Decatur-Morgan Co LFG Recovery Project,0.0147
848,District 100 Transco Gas Pipe Line,
849,District 100 Transco Gas Pipe Line,
850,E B Harris Generating Plant,0.0033
851,E B Harris Generating Plant,0.0033
852,E B Harris Generating Plant,0.0048
853,E B Harris Generating Plant,0.0041
854,E C Gaston,0.0068
855,E C Gaston,0.0079
856,E C Gaston,0.0075
857,E C Gaston,0.007
858,E C Gaston,0.0024
859,Fort Rucker Solar Array,
860,Gadsden,0.0075
861,Gadsden,
862,Gantt,
863,Gantt,
864,Georgia-Pacific Brewton Mill,
865,Georgia-Pacific Brewton Mill,
866,Georgia-Pacific Brewton Mill,0.0073
867,Georgia-Pacific Brewton Mill,
868,Georgia-Pacific Brewton Mill,0.0073
869,Georgia-Pacific Brewton Mill,
870,Georgia-Pacific Brewton Mill,0.0057
871,Georgia-Pacific Consr Prods LP-Naheola,
872,Georgia-Pacific Consr Prods LP-Naheola,
873,Georgia-Pacific Consr Prods LP-Naheola,0.0073
874,Georgia-Pacific Consr Prods LP-Naheola,0.0057
875,Georgia-Pacific Consr Prods LP-Naheola,0.0053
876,Goat Rock,
877,Goat Rock,
878,Goat Rock,
879,Goat Rock,
880,Goat Rock,
881,Goat Rock,
882,Goat Rock,
883,Goat Rock,
884,Gorgas,
885,Gorgas,
886,Gorgas,
887,Gorgas,
888,Gorgas,
889,Greene County,0.0075
890,Greene County,0.0075
891,Greene County,0.0014
892,Greene County,0.0015
893,Greene County,0.0016
894,Greene County,0.0015
895,Greene County,0.0016
896,Greene County,0.0021
897,Greene County,0.0017
898,Greene County,0.0012
899,Greene County,0.0016
900,Guntersville,
901,Guntersville,
902,Guntersville,
903,Guntersville,
904,H Neely Henry Dam,
905,H Neely Henry Dam,
906,H Neely Henry Dam,
907,Harris Dam,
908,Harris Dam,
909,Hillabee Energy Center,0.0064
910,Hillabee Energy Center,0.0066
911,Hog Bayou Energy Center,0.0031
912,Holt Dam,
913,International Paper Pine Hill Mill,0.0187
914,International Paper Pine Hill Mill,0.0187
915,International Paper Pine Hill Mill,0.0067
916,International Paper-Prattville Mill,0.0151
917,International Paper-Prattville Mill,0.0083
918,International Paper-Riverdale Mill,0.0146
919,International Paper-Riverdale Mill,0.0007
920,James H Miller Jr,0.0013
921,James H Miller Jr,0.0014
922,James H Miller Jr,0.0011
923,James H Miller Jr,0.0018
924,Jones Bluff,
925,Jones Bluff,
926,Jones Bluff,
927,Jones Bluff,
928,Jordan Dam,
929,Jordan Dam,
930,Jordan Dam,
931,Jordan Dam,
932,Joseph M Farley,
933,Joseph M Farley,
934,Kimberly Clark Mobile - CHP Plant,0.001
935,Kimberly Clark Mobile - CHP Plant,0.001
936,LaFayette Solar Farm,
937,Langdale,
938,Langdale,
939,Lay Dam,
940,Lay Dam,
941,Lay Dam,
942,Lay Dam,
943,Lay Dam,
944,Lay Dam,
945,Lewis Smith Dam,
946,Lewis Smith Dam,
947,Logan Martin Dam,
948,Logan Martin Dam,
949,Logan Martin Dam,
950,Martin Dam,
951,Martin Dam,
952,Martin Dam,
953,Martin Dam,
954,McIntosh (7063),0.0098
955,McIntosh (7063),0.0072
956,McIntosh (7063),0.0063
957,McIntosh (7063),0.0066
958,McIntosh (7063),0.0066
959,McWilliams,0.0066
960,McWilliams,0.0066
961,McWilliams,0.0066
962,Millers Ferry,
963,Millers Ferry,
964,Millers Ferry,
965,Mitchell Dam,
966,Mitchell Dam,
967,Mitchell Dam,
968,Mitchell Dam,
969,Morgan Energy Center,0.0015
970,Morgan Energy Center,0.0015
971,Morgan Energy Center,0.0015
972,Muscle Shoals,
973,OE_ALD,
974,Packaging Corporation of America Jackson Mill,0.0074
975,Packaging Corporation of America Jackson Mill,0.0074
976,Packaging Corporation of America Jackson Mill,0.0074
977,Packaging Corporation of America Jackson Mill,0.0067
978,Pinckard Solar,
979,Plant H. Allen Franklin,0.0042
980,Plant H. Allen Franklin,0.0066
981,Plant H. Allen Franklin,0.0039
982,Plant H. Allen Franklin,0.0039
983,Plant H. Allen Franklin,0.0049
984,Plant H. Allen Franklin,0.0039
985,Point A,
986,Point A,
987,Point A,
988,Redstone Arsenal Hybrid,
989,Redstone Arsenal Hybrid,
990,"River Bend Solar, LLC",
991,SABIC Innovative Plastics - Burkville,0.0156
992,Sand Valley Power Station,0.0147
993,Sand Valley Power Station,0.0147
994,Sand Valley Power Station,0.0147
995,Sloss Industries Corp,0.0142
996,Sloss Industries Corp,0.0142
997,Sloss Industries Corp,0.0074
998,Tenaska Lindsay Hill Generating Station,0.0043
999,Tenaska Lindsay Hill Generating Station,0.0031
1000,Tenaska Lindsay Hill Generating Station,0.0052
1001,Theodore Cogeneration,0.0155
1002,Thurlow Dam,
1003,Thurlow Dam,
1004,Thurlow Dam,
1005,Tom Bevill Lock and Dam Hydroelectric,
1006,Tom Bevill Lock and Dam Hydroelectric,
1007,Tom Bevill Lock and Dam Hydroelectric,
1008,U S Alliance Coosa Pines,0.0074
1009,U S Alliance Coosa Pines,0.0074
1010,U S Alliance Coosa Pines,0.0067
1011,U S Alliance Coosa Pines,
1012,W&T Onshore Treating Facility (OTF),0.0062
1013,W&T Onshore Treating Facility (OTF),0.0062
1014,W&T Onshore Treating Facility (OTF),0.0062
1015,W&T Onshore Treating Facility (OTF),
1016,Walter Bouldin Dam,
1017,Walter Bouldin Dam,
1018,Walter Bouldin Dam,
1019,Walton Discover Power Facility,0.0066
1020,Walton Discover Power Facility,0.0066
1021,Walton Discover Power Facility,0.0066
1022,Walton Discover Power Facility,0.0066
1023,Washington County Cogen (Olin),0.0129
1024,Weiss Dam,
1025,Weiss Dam,
1026,Weiss Dam,
1027,Westervelt Moundville Cogen,0.0187
1028,Westervelt Moundville Cogen,0.0187
1029,WestRock Coated Board,0.0072
